District,Location,Latitude,Longitude,Lithology,Aquifer_Type,Expected_WBZ_Depth_m,Water_Level_m,Expected_Discharge_LPM,pH,EC_uS_cm,Hardness_mg_L,Nitrate_mg_L,Fluoride_mg_L,Recommended_Drilling,Well_Suitability,Expected_Water_Quality
West Godavari,Site-0109,14.5218,82.9848,Shale,Semi-confined,171,19.85,253,8.01,1046,665,72,1.07,Down-the-Hole,Not Suitable,Poor
East Godavari,Site-0110,15.9026,83.9196,Limestone,Semi-confined,233,15.24,487,8.23,443,335,58,1.61,Percussion Drilling,Not Suitable,Good
Kurnool,Site-0111,16.0501,82.5026,Limestone,Unconfined,112,9.0,375,6.51,386,248,61,1.87,Auger Drilling,Not Suitable,Good
Chittoor,Site-0112,14.5786,79.5958,Limestone,Unconfined,226,18.75,255,7.73,1267,393,92,1.93,Rotary Drilling,Not Suitable,Good
Krishna,Site-0113,15.6338,78.412,Alluvium,Semi-confined,129,2.6,356,7.52,1630,337,79,0.51,Rotary Drilling,Not Suitable,Moderate
Kurnool,Site-0114,16.9301,83.8295,Granite,Semi-confined,234,8.36,252,7.31,610,630,2,1.53,Rotary Drilling,Suitable,Good
East Godavari,Site-0115,14.707,82.8084,Limestone,Semi-confined,207,19.34,191,6.95,598,565,52,1.23,Down-the-Hole,Not Suitable,Good
Nellore,Site-0116,16.0374,80.9104,Limestone,Semi-confined,204,19.05,461,7.53,727,650,74,0.65,Auger Drilling,Not Suitable,Moderate
West Godavari,Site-0117,15.9018,78.7029,Sandstone,Fractured,265,18.14,491,6.55,438,364,9,0.89,Percussion Drilling,Suitable,Poor
Kurnool,Site-0118,17.801,79.887,Sandstone,Unconfined,164,6.47,97,7.3,1733,450,10,1.2,Percussion Drilling,Not Suitable,Moderate
Prakasam,Site-0119,15.1212,83.2602,Sandstone,Confined,127,10.98,152,6.97,695,371,27,0.61,Percussion Drilling,Suitable,Poor
Prakasam,Site-0120,13.936,77.7468,Granite,Fractured,33,15.76,327,8.42,1936,593,48,1.32,Auger Drilling,Not Suitable,Poor
Guntur,Site-0121,15.9448,83.8908,Limestone,Semi-confined,233,6.0,345,6.76,1276,533,62,1.89,Rotary Drilling,Not Suitable,Poor
Prakasam,Site-0122,15.3623,81.8044,Basalt,Fractured,91,14.57,285,7.13,217,112,87,0.58,Rotary Drilling,Not Suitable,Moderate
Prakasam,Site-0123,16.6767,78.8179,Limestone,Semi-confined,151,6.85,363,7.19,576,610,55,0.58,Down-the-Hole,Not Suitable,Moderate
Nellore,Site-0124,14.6778,78.2592,Basalt,Confined,81,14.97,461,6.97,1085,490,26,0.46,Percussion Drilling,Suitable,Moderate
Anantapur,Site-0125,14.0596,80.4972,Alluvium,Semi-confined,279,7.4,337,8.22,297,507,13,1.44,Rotary Drilling,Not Suitable,Good
Guntur,Site-0126,15.8592,81.409,Shale,Semi-confined,163,8.5,336,7.61,1858,363,45,0.24,Rotary Drilling,Suitable,Moderate
West Godavari,Site-0127,14.1937,81.0313,Alluvium,Confined,175,8.39,394,7.52,1786,557,11,0.89,Down-the-Hole,Suitable,Moderate
Kadapa,Site-0128,18.2095,81.4841,Sandstone,Fractured,237,17.28,86,6.66,903,333,41,0.77,Down-the-Hole,Not Suitable,Poor
Guntur,Site-0129,16.6323,79.7682,Shale,Semi-confined,296,19.38,261,6.83,1949,123,17,1.51,Down-the-Hole,Suitable,Poor
Chittoor,Site-0130,14.2634,79.7793,Granite,Unconfined,272,11.87,63,8.04,1273,185,14,0.67,Percussion Drilling,Not Suitable,Good
Nellore,Site-0131,14.8562,78.7318,Sandstone,Fractured,94,4.36,479,6.84,271,779,46,1.75,Down-the-Hole,Suitable,Moderate
Krishna,Site-0132,18.8499,80.7841,Sandstone,Fractured,99,19.45,407,7.58,1410,711,59,1.34,Auger Drilling,Not Suitable,Poor
East Godavari,Site-0133,14.858,79.4302,Limestone,Confined,75,9.95,237,7.32,518,410,2,0.2,Percussion Drilling,Suitable,Moderate
Guntur,Site-0134,15.8152,77.0582,Shale,Fractured,183,2.16,270,8.1,1422,336,1,1.19,Percussion Drilling,Not Suitable,Moderate
East Godavari,Site-0135,15.6226,78.7493,Alluvium,Fractured,223,5.97,90,7.34,690,629,98,1.64,Down-the-Hole,Not Suitable,Moderate
East Godavari,Site-0136,17.8529,79.8903,Granite,Confined,99,7.21,376,7.41,1127,378,90,1.32,Percussion Drilling,Not Suitable,Moderate
Anantapur,Site-0137,13.9129,83.788,Granite,Confined,82,7.08,114,7.93,1689,108,30,0.36,Rotary Drilling,Suitable,Moderate
Kurnool,Site-0138,15.0515,79.181,Shale,Semi-confined,267,14.54,66,7.16,1927,249,8,0.68,Auger Drilling,Not Suitable,Good
East Godavari,Site-0139,15.8209,78.3453,Sandstone,Fractured,36,4.2,443,7.93,988,553,32,1.53,Rotary Drilling,Suitable,Good
Krishna,Site-0140,17.4119,77.6577,Alluvium,Confined,272,9.0,209,8.37,524,744,94,0.28,Rotary Drilling,Not Suitable,Moderate
Krishna,Site-0141,16.8311,78.3911,Granite,Confined,87,6.25,272,7.15,542,382,75,0.42,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0142,16.4865,81.8353,Alluvium,Confined,220,15.87,177,6.82,387,733,44,1.88,Rotary Drilling,Suitable,Good
Prakasam,Site-0143,16.8674,81.9093,Granite,Confined,279,6.19,335,8.08,1749,455,57,1.52,Rotary Drilling,Not Suitable,Poor
Nellore,Site-0144,15.149,77.9431,Granite,Fractured,254,12.06,327,7.89,588,680,24,1.18,Down-the-Hole,Suitable,Poor
Krishna,Site-0145,14.6519,82.8194,Limestone,Confined,65,11.56,280,7.09,739,654,47,1.02,Auger Drilling,Suitable,Poor
Kadapa,Site-0146,18.2976,81.3381,Sandstone,Confined,194,14.98,387,8.43,1877,496,25,1.14,Auger Drilling,Not Suitable,Poor
Kadapa,Site-0147,16.6782,79.2582,Alluvium,Semi-confined,86,3.73,387,6.63,1910,232,23,1.77,Percussion Drilling,Suitable,Good
Krishna,Site-0148,14.1497,77.2227,Alluvium,Fractured,280,11.46,409,7.68,300,475,29,1.29,Rotary Drilling,Suitable,Good
Kurnool,Site-0149,16.9345,83.4988,Granite,Fractured,61,8.5,430,8.38,1051,477,91,0.3,Down-the-Hole,Not Suitable,Poor
Anantapur,Site-0150,17.4058,82.8412,Granite,Confined,295,3.75,421,6.96,989,294,25,1.15,Percussion Drilling,Suitable,Poor
Kadapa,Site-0151,16.3505,80.907,Alluvium,Unconfined,213,14.14,409,7.83,413,270,24,1.19,Down-the-Hole,Suitable,Poor
Kadapa,Site-0152,16.2034,81.1994,Sandstone,Semi-confined,196,17.21,261,8.03,1081,431,78,0.63,Percussion Drilling,Not Suitable,Moderate
East Godavari,Site-0153,18.5569,78.7786,Shale,Fractured,233,2.0,67,8.47,1420,116,67,0.44,Down-the-Hole,Not Suitable,Good
Guntur,Site-0154,18.9064,78.5038,Sandstone,Unconfined,171,18.54,311,7.61,1370,258,13,0.27,Down-the-Hole,Suitable,Good
Kadapa,Site-0155,14.5899,83.2274,Basalt,Confined,161,16.6,97,7.64,1365,322,94,0.34,Down-the-Hole,Not Suitable,Moderate
Kadapa,Site-0156,15.9297,83.2932,Alluvium,Unconfined,183,2.67,463,7.65,360,157,99,0.8,Auger Drilling,Not Suitable,Moderate
Chittoor,Site-0157,18.2187,78.587,Alluvium,Unconfined,225,2.97,318,6.58,1305,678,20,0.79,Percussion Drilling,Suitable,Good
Anantapur,Site-0158,17.0418,83.9816,Shale,Unconfined,143,9.77,452,7.29,470,444,11,1.06,Rotary Drilling,Suitable,Poor
Nellore,Site-0159,14.5753,79.7897,Shale,Confined,99,10.66,151,7.48,1535,685,26,1.21,Percussion Drilling,Suitable,Good
Chittoor,Site-0160,14.5975,80.0105,Alluvium,Unconfined,87,14.09,266,7.23,590,428,45,1.27,Rotary Drilling,Suitable,Moderate
Kadapa,Site-0161,18.9259,81.3135,Shale,Confined,255,2.81,468,6.97,1603,482,20,1.56,Rotary Drilling,Suitable,Good
Anantapur,Site-0162,14.4583,81.347,Basalt,Semi-confined,37,8.18,461,6.72,1121,582,3,0.8,Percussion Drilling,Suitable,Good
East Godavari,Site-0163,16.1396,78.8106,Shale,Confined,39,8.78,389,7.55,723,274,8,0.71,Down-the-Hole,Suitable,Good
Krishna,Site-0164,16.9285,77.0583,Shale,Semi-confined,214,17.56,59,7.08,1529,495,30,1.96,Rotary Drilling,Not Suitable,Moderate
Krishna,Site-0165,18.2006,80.7209,Basalt,Confined,286,19.4,337,8.35,244,140,32,1.86,Down-the-Hole,Not Suitable,Moderate
Krishna,Site-0166,15.3604,78.099,Sandstone,Semi-confined,211,13.25,170,8.49,1226,382,8,1.33,Auger Drilling,Not Suitable,Good
East Godavari,Site-0167,18.6947,78.5791,Sandstone,Fractured,100,3.58,245,7.54,1588,727,81,1.44,Auger Drilling,Not Suitable,Good
West Godavari,Site-0168,13.9165,83.7938,Limestone,Semi-confined,259,11.76,155,7.8,1389,654,88,1.64,Percussion Drilling,Not Suitable,Moderate
East Godavari,Site-0169,18.4574,80.0105,Basalt,Confined,192,3.22,322,8.4,442,288,41,1.71,Percussion Drilling,Not Suitable,Poor
Anantapur,Site-0170,17.5926,83.1609,Shale,Fractured,185,9.97,470,8.29,1712,380,20,1.6,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0171,13.1572,83.9017,Limestone,Semi-confined,148,12.73,168,7.87,935,181,89,1.6,Percussion Drilling,Not Suitable,Poor
West Godavari,Site-0172,15.8126,81.547,Basalt,Fractured,281,10.53,133,6.89,266,518,98,1.94,Down-the-Hole,Not Suitable,Moderate
Kurnool,Site-0173,17.4542,83.9177,Basalt,Unconfined,120,18.69,274,8.23,1203,432,59,1.8,Auger Drilling,Not Suitable,Moderate
Anantapur,Site-0174,16.6476,82.7703,Alluvium,Semi-confined,231,13.01,430,7.64,1298,637,83,1.78,Rotary Drilling,Not Suitable,Poor
Chittoor,Site-0175,15.7097,82.7891,Granite,Confined,295,11.68,426,6.58,993,628,98,1.34,Rotary Drilling,Not Suitable,Good
Guntur,Site-0176,15.6373,83.1908,Sandstone,Fractured,115,9.6,363,8.34,1613,629,19,1.03,Auger Drilling,Not Suitable,Good
East Godavari,Site-0177,13.679,82.4511,Alluvium,Confined,231,9.44,280,6.55,1129,704,92,1.81,Auger Drilling,Not Suitable,Good
Guntur,Site-0178,14.9444,81.54,Alluvium,Confined,93,3.64,411,7.4,943,187,68,1.47,Percussion Drilling,Not Suitable,Moderate
East Godavari,Site-0179,15.2836,82.3778,Sandstone,Confined,113,17.64,141,8.04,305,529,40,0.76,Auger Drilling,Not Suitable,Moderate
Kadapa,Site-0180,13.7053,77.921,Basalt,Unconfined,159,2.22,304,8.21,1313,105,78,1.79,Percussion Drilling,Not Suitable,Good
West Godavari,Site-0181,16.9568,80.1762,Shale,Unconfined,33,6.4,330,7.06,1487,670,27,0.29,Percussion Drilling,Suitable,Good
Prakasam,Site-0182,13.2203,82.9768,Alluvium,Semi-confined,199,18.57,75,6.72,565,265,87,0.71,Percussion Drilling,Not Suitable,Moderate
West Godavari,Site-0183,15.1611,77.2509,Sandstone,Semi-confined,218,18.16,469,6.64,1075,663,9,0.73,Percussion Drilling,Suitable,Good
Guntur,Site-0184,14.9753,79.8963,Basalt,Confined,59,3.97,423,8.46,1283,189,62,1.5,Down-the-Hole,Not Suitable,Moderate
West Godavari,Site-0185,18.0868,78.8176,Limestone,Semi-confined,96,13.06,304,7.54,1494,609,64,1.65,Percussion Drilling,Not Suitable,Poor
Guntur,Site-0186,18.8755,77.0111,Granite,Fractured,90,15.27,156,8.1,1049,523,6,0.8,Percussion Drilling,Not Suitable,Good
